Data_Hora_Coleta	Data_viagem	Parque	Preço
2024-01-23 17:27:21.250471	2024-01-28	2 Dias - Disney World Básico	R$ 1885.52
2024-01-23 17:28:01.582114	2024-02-02	2 Dias - Disney World Básico	R$ 1953.77
2024-01-23 17:28:41.982738	2024-02-12	2 Dias - Disney World Básico	R$ 2037.96
2024-01-23 17:29:22.419284	2024-03-10	2 Dias - Disney World Básico	R$ 2056.68
2024-01-23 17:30:02.998678	2024-03-27	2 Dias - Disney World Básico	R$ 2159.72
2024-01-23 17:30:43.614933	2024-05-28	2 Dias - Disney World Básico	R$ 2100.42
2024-01-23 17:31:43.166669	2024-01-28	3 Dias - Disney World Básico	R$ 2459.23
2024-01-23 17:32:23.563618	2024-02-02	3 Dias - Disney World Básico	R$ 2514.13
2024-01-23 17:33:04.179992	2024-02-12	3 Dias - Disney World Básico	R$ 2717.07
2024-01-23 17:33:44.696314	2024-03-10	3 Dias - Disney World Básico	R$ 2694.18
2024-01-23 17:34:25.495704	2024-03-27	3 Dias - Disney World Básico	R$ 2844.74
2024-01-23 17:35:06.278782	2024-05-28	3 Dias - Disney World Básico	R$ 2723.64
2024-01-23 17:36:06.778487	2024-01-28	4 Dias - Disney World Básico	R$ 3194.69
2024-01-23 17:36:47.177854	2024-02-02	4 Dias - Disney World Básico	R$ 3224.28
2024-01-23 17:37:27.744019	2024-02-12	4 Dias - Disney World Básico	R$ 3529.28
2024-01-23 17:38:08.243603	2024-03-10	4 Dias - Disney World Básico	R$ 3463.75
2024-01-23 17:38:49.026769	2024-03-27	4 Dias - Disney World Básico	R$ 3597.89
2024-01-23 17:39:29.928150	2024-05-28	4 Dias - Disney World Básico	R$ 3424.97
2024-01-23 17:40:29.309071	2024-01-28	5 Dias - Disney World Básico	R$ 3463.93
2024-01-23 17:41:09.708843	2024-02-02	5 Dias - Disney World Básico	R$ 3491.95
2024-01-23 17:41:50.191609	2024-02-12	5 Dias - Disney World Básico	R$ 3882.12
2024-01-23 17:42:30.719639	2024-03-10	5 Dias - Disney World Básico	R$ 3813.51
2024-01-23 17:43:11.457450	2024-03-27	5 Dias - Disney World Básico	R$ 3933.58
2024-01-23 17:43:52.423764	2024-05-28	5 Dias - Disney World Básico	R$ 3657.14
