Data_Hora_Coleta	Data_viagem	Parque	Preco
2024-01-29 08:29	2024-02-03	2 Dias - Disney World Basico	R$ 1893.46
2024-01-29 08:31	2024-02-03	3 Dias - Disney World Basico	R$ 2444.67
2024-01-29 08:33	2024-02-03	4 Dias - Disney World Basico	R$ 3180.2
2024-01-29 08:35	2024-02-03	5 Dias - Disney World Basico	R$ 3458.09
2024-01-29 08:29	2024-02-08	2 Dias - Disney World Basico	R$ 1988.24
2024-01-29 08:31	2024-02-08	3 Dias - Disney World Basico	R$ 2591.27
2024-01-29 08:33	2024-02-08	4 Dias - Disney World Basico	R$ 3329.24
2024-01-29 08:35	2024-02-08	5 Dias - Disney World Basico	R$ 3596.07
2024-01-29 08:30	2024-02-18	2 Dias - Disney World Basico	R$ 2151.64
2024-01-29 08:32	2024-02-18	3 Dias - Disney World Basico	R$ 2818.77
2024-01-29 08:34	2024-02-18	4 Dias - Disney World Basico	R$ 3607.62
2024-01-29 08:36	2024-02-18	5 Dias - Disney World Basico	R$ 3944.73
2024-01-29 08:30	2024-03-16	2 Dias - Disney World Basico	R$ 2099.39
2024-01-29 08:32	2024-03-16	3 Dias - Disney World Basico	R$ 2747.77
2024-01-29 08:34	2024-03-16	4 Dias - Disney World Basico	R$ 3504.74
2024-01-29 08:36	2024-03-16	5 Dias - Disney World Basico	R$ 3845.96
2024-01-29 08:30	2024-04-02	2 Dias - Disney World Basico	R$ 2090.17
2024-01-29 08:32	2024-04-02	3 Dias - Disney World Basico	R$ 2747.77
2024-01-29 08:34	2024-04-02	4 Dias - Disney World Basico	R$ 3489.85
2024-01-29 08:36	2024-04-02	5 Dias - Disney World Basico	R$ 3809.39
2024-01-29 08:31	2024-06-03	2 Dias - Disney World Basico	R$ 1933.2
2024-01-29 08:33	2024-06-03	3 Dias - Disney World Basico	R$ 2533.97
2024-01-29 08:35	2024-06-03	4 Dias - Disney World Basico	R$ 3273.67
2024-01-29 08:37	2024-06-03	5 Dias - Disney World Basico	R$ 3529.88
