Data_Hora_Coleta	Data_viagem	Parque	Preco
2024-01-25 15:02:06.628868	2024-01-30	2 Dias - Disney World Básico	R$ 1859.75
2024-01-25 15:02:20.937022	2024-02-04	2 Dias - Disney World Básico	R$ 1859.75
2024-01-25 15:02:35.370075	2024-02-14	2 Dias - Disney World Básico	R$ 2093.26
2024-01-25 15:02:49.791086	2024-03-12	2 Dias - Disney World Básico	R$ 2028.57
2024-01-25 15:03:04.517506	2024-03-29	2 Dias - Disney World Básico	R$ 2154.8
2024-01-25 15:03:19.338405	2024-05-30	2 Dias - Disney World Básico	R$ 2016.23
2024-01-25 15:03:45.559569	2024-01-30	3 Dias - Disney World Básico	R$ 2444.67
2024-01-25 15:03:59.976540	2024-02-04	3 Dias - Disney World Básico	R$ 2457.42
2024-01-25 15:04:14.491044	2024-02-14	3 Dias - Disney World Básico	R$ 2767.13
2024-01-25 15:04:28.955395	2024-03-12	3 Dias - Disney World Básico	R$ 2683.13
2024-01-25 15:04:43.782723	2024-03-29	3 Dias - Disney World Básico	R$ 2805.85
2024-01-25 15:04:58.522235	2024-05-30	3 Dias - Disney World Básico	R$ 2591.27
2024-01-25 15:05:30.527931	2024-01-30	4 Dias - Disney World Básico	R$ 3151.01
2024-01-25 15:05:44.882155	2024-02-04	4 Dias - Disney World Básico	R$ 3194.91
2024-01-25 15:05:59.450794	2024-02-14	4 Dias - Disney World Básico	R$ 3542.75
2024-01-25 15:06:13.936299	2024-03-12	4 Dias - Disney World Básico	R$ 3445.83
2024-01-25 15:06:28.717279	2024-03-29	4 Dias - Disney World Básico	R$ 3548.7
2024-01-25 15:06:43.363862	2024-05-30	4 Dias - Disney World Básico	R$ 3297.2
2024-01-25 15:07:06.560513	2024-01-30	5 Dias - Disney World Básico	R$ 3386.37
2024-01-25 15:07:21.008065	2024-02-04	5 Dias - Disney World Básico	R$ 3471.8
2024-01-25 15:07:35.514666	2024-02-14	5 Dias - Disney World Básico	R$ 3888.31
2024-01-25 15:07:50.022774	2024-03-12	5 Dias - Disney World Básico	R$ 3781.21
2024-01-25 15:08:04.739641	2024-03-29	5 Dias - Disney World Básico	R$ 3888.31
2024-01-25 15:08:19.421524	2024-05-30	5 Dias - Disney World Básico	R$ 3551.92
