Data_Hora_Coleta	Data_viagem	Parque	Preco
20240125_151108.124062	2024-01-30	1 Dia - Disney Basico Animal Kingdom	R$ 781,75
20240125_151110.415916	2024-01-30	1 Dia - Disney Basico Epcot	R$ 840,10
20240125_151106.166770	2024-01-30	1 Dia - Disney Basico Hollywood Studios	R$ 898,45
20240125_151103.304120	2024-01-30	1 Dia - Disney Basico Magic Kingdom	R$ 927,60
20240125_151113.177210	2024-01-30	2 Dias - Disney World Bsico	R$ 1.676,01
20240125_151115.445417	2024-01-30	3 Dias - Disney World Basico	R$ 2.204,76
20240125_151121.090764	2024-01-30	4 Dias - Disney Promocional	R$ 2.383,10
20240125_151117.918596	2024-01-30	4 Dias - Disney World Basico	R$ 2.841,79
20240125_151123.830350	2024-01-30	5 Dias - Disney World Basico	R$ 3.066,18
20240125_151132.802880	2024-02-04	1 Dia - Disney Basico Animal Kingdom	R$ 840,10
20240125_151134.995391	2024-02-04	1 Dia - Disney Basico Epcot	R$ 927,60
20240125_151130.403453	2024-02-04	1 Dia - Disney Basico Hollywood Studios	R$ 956,80
20240125_151127.057093	2024-02-04	1 Dia - Disney Basico Magic Kingdom	R$ 985,95
20240125_151137.345300	2024-02-04	2 Dias - Disney World Bsico	R$ 1.676,01
20240125_151139.579657	2024-02-04	3 Dias - Disney World Basico	R$ 2.216,31
20240125_151144.458790	2024-02-04	4 Dias - Disney Promocional	R$ 2.383,10
20240125_151142.366842	2024-02-04	4 Dias - Disney World Basico	R$ 2.881,47
20240125_151146.733092	2024-02-04	5 Dias - Disney World Basico	R$ 3.143,54
20240125_151154.769753	2024-02-14	1 Dia - Disney Basico Animal Kingdom	R$ 869,24
20240125_151156.973864	2024-02-14	1 Dia - Disney Basico Epcot	R$ 927,60
20240125_151152.544933	2024-02-14	1 Dia - Disney Basico Hollywood Studios	R$ 985,95
20240125_151149.313289	2024-02-14	1 Dia - Disney Basico Magic Kingdom	R$ 1.015,10
20240125_151159.537271	2024-02-14	2 Dias - Disney World Bsico	R$ 1.886,39
20240125_151201.840616	2024-02-14	3 Dias - Disney World Basico	R$ 2.495,56
20240125_151207.269995	2024-02-14	4 Dias - Disney Promocional	R$ 2.383,10
20240125_151205.182998	2024-02-14	4 Dias - Disney World Basico	R$ 3.195,07
20240125_151209.573243	2024-02-14	5 Dias - Disney World Basico	R$ 3.520,70
20240125_151218.901722	2024-03-12	1 Dia - Disney Basico Animal Kingdom	R$ 898,45
20240125_151221.770885	2024-03-12	1 Dia - Disney Basico Epcot	R$ 927,60
20240125_151214.297752	2024-03-12	1 Dia - Disney Basico Hollywood Studios	R$ 985,95
20240125_151212.279317	2024-03-12	1 Dia - Disney Basico Magic Kingdom	R$ 1.015,10
20240125_151224.018665	2024-03-12	2 Dias - Disney World Bsico	R$ 1.828,09
20240125_151226.185020	2024-03-12	3 Dias - Disney World Basico	R$ 2.419,86
20240125_151232.296827	2024-03-12	4 Dias - Disney Promocional	R$ 3.107,68
20240125_151229.988588	2024-03-12	4 Dias - Disney World Basico	R$ 3.423,70
20240125_151236.574574	2024-03-12	5 Dias - Disney World Basico	R$ 3.629,50
20240125_151245.733696	2024-03-29	1 Dia - Disney Basico Animal Kingdom	R$ 936,45
20240125_151248.506566	2024-03-29	1 Dia - Disney Basico Epcot	R$ 1.022,08
20240125_151242.101695	2024-03-29	1 Dia - Disney Basico Hollywood Studios	R$ 1.022,08
20240125_151239.530341	2024-03-29	1 Dia - Disney Basico Magic Kingdom	R$ 1.050,61
20240125_151250.691344	2024-03-29	2 Dias - Disney World Bsico	R$ 1.900,52
20240125_151254.778933	2024-03-29	3 Dias - Disney World Basico	R$ 2.476,71
20240125_151301.819458	2024-03-29	4 Dias - Disney Promocional	R$ 3.132,40
20240125_151258.198874	2024-03-29	4 Dias - Disney World Basico	R$ 3.445,79
20240125_151312.316770	2024-03-29	5 Dias - Disney World Basico	R$ 3.648,63
20240125_151320.069691	2024-05-30	1 Dia - Disney Basico Animal Kingdom	R$ 879,33
20240125_151323.592597	2024-05-30	1 Dia - Disney Basico Epcot	R$ 936,45
20240125_151317.761705	2024-05-30	1 Dia - Disney Basico Hollywood Studios	R$ 993,50
20240125_151315.570575	2024-05-30	1 Dia - Disney Basico Magic Kingdom	R$ 1.022,08
20240125_151326.449175	2024-05-30	2 Dias - Disney World Bsico	R$ 1.778,32
20240125_151329.371450	2024-05-30	3 Dias - Disney World Basico	R$ 2.212,73
20240125_151334.667554	2024-05-30	4 Dias - Disney Promocional	R$ 2.815,46
20240125_151331.553880	2024-05-30	4 Dias - Disney World Basico	R$ 3.045,04
20240125_151337.196656	2024-05-30	5 Dias - Disney World Basico	R$ 3.169,16
